"","Strain","Replicate","Passage","Date","Area.1","Area.12","Area.18"
"1","Bt103","2","NA","07_19_2022",3.6193476,2.5419304,4.4774104
"2","Bt103","3","NA","07_19_2022",4.1741852,2.8774136,5.5419244
"3","Bt103","4","NA","07_19_2022",4.2064432,3.1161228,5.7612788
"4","Bt103","5","NA","07_19_2022",2.5096724,4.3612816,11.225784
"5","Bt103","6","NA","07_19_2022",2.4967692,4.3741848,9.903206
"6","Bt22","1","NA","07_19_2022",4.4580556,12.9612644,36.2644436
"7","Bt22","2","NA","07_19_2022",4.451604,11.903202,37.1547644
"8","Bt22","3","NA","07_19_2022",3.7806376,9.3999812,29.7483276
"9","Bt22","4","NA","07_19_2022",4.6193456,10.935462,26.3934956
"10","Bt22","5","NA","07_19_2022",2.4258016,12.838684,44.7676524
"11","Bt45","1","NA","07_19_2022",5.8128916,5.2774088,13.5741664
"12","Bt45","2","NA","07_19_2022",6.032246,6.6193416,17.6902872
"13","Bt45","3","NA","07_19_2022",5.0516028,5.1161188,12.1741692
"14","Bt45","4","NA","07_19_2022",6.193536,4.6193456,10.0386896
"15","Bt45","5","NA","07_19_2022",1.6709644,8.87095,28.2515564
"16","Bt45","6","NA","07_19_2022",3.8193472,8.0515968,27.967686
"17","Bt75","2","NA","07_19_2022",2.09677,8.677402,31.4257436
"18","Bt75","3","NA","07_19_2022",4.0387016,10.8580428,27.6063964
"19","Bt75","4","NA","07_19_2022",6.903212,8.5290152,22.0709236
"20","Bt75","5","NA","07_19_2022",5.1419252,7.2967596,21.5999568
"21","Bt75","6","NA","07_19_2022",3.3999932,8.8838532,27.9483312
"22","F9","1","NA","07_19_2022",5.4645052,7.9290164,18.612866
"23","F9","2","NA","07_19_2022",5.4128924,9.0451432,26.4773664
"24","F9","3","NA","07_19_2022",5.16128,10.580624,28.8902648
"25","F9","4","NA","07_19_2022",4.6967648,7.7225652,27.0386556
"26","F9","5","NA","07_19_2022",4.4645072,10.2193344,30.6515516
"27","F9","6","NA","07_19_2022",3.9096696,17.1354496,42.0128192
"28","Ftc555-1","1","NA","07_19_2022",5.1096672,3.7806376,7.0774052
"29","Ftc555-1","2","NA","07_19_2022",4.3677332,3.7548312,8.2064352
"30","Ftc555-1","3","NA","07_19_2022",4.2128948,3.5935412,7.0451472
"31","Ftc555-1","4","NA","07_19_2022",4.6322488,3.4451544,6.096762
"32","Ftc555-1","5","NA","07_19_2022",4.1741852,4.5612812,9.8580448
"33","Ftc555-1","6","NA","07_19_2022",3.6903152,4.0774112,8.6644988
