Strain,Replicate,Passage,Day,Area,Mean,Min,Max,Issues,Date
Ftc555-1,1,11,1,0.346,37470.613,33603,49101,,09_06_2022
Ftc555-1,2,11,1,0.399,36827.031,32179,60255,,09_06_2022
Ftc555-1,3,11,1,0.375,37994.723,33468,48786,,09_06_2022
Ftc555-1,4,11,1,0.6,37927.503,32521,46956,,09_06_2022
Ftc555-1,5,11,1,0.562,38223.206,32372,47329,,09_06_2022
Bt103,1,11,1,0.684,38472.012,33903,49415,,09_06_2022
Bt103,2,11,1,0.408,37700.536,33319,49933,,09_06_2022
Bt103,3,11,1,0.489,38113.19,33370,50558,,09_06_2022
Bt103,4,11,1,0.664,38249.5,33429,49668,,09_06_2022
Bt103,5,11,1,0.8,39955.253,35247,49822,,09_06_2022
Bt22,1,11,1,0.448,37277.128,33137,52982,,09_06_2022
Bt22,2,11,1,0.325,36761.835,32739,49710,,09_06_2022
Bt22,3,11,1,0.354,36770.557,32897,50810,,09_06_2022
Bt22,4,11,1,0.394,36512.809,32745,56028,,09_06_2022
Bt22,5,11,1,0.785,39050.579,33420,53922,,09_06_2022
Ftc555-1,1,11,12,0.985,36186.778,32759,50824,,09_06_2022
Ftc555-1,2,11,12,0.945,35828.974,32252,50310,,09_06_2022
Ftc555-1,3,11,12,0.932,36146.72,32894,56128,,09_06_2022
Ftc555-1,4,11,12,1.105,35522.761,31926,49820,,09_06_2022
Ftc555-1,5,11,12,1.024,36133.704,31371,54371,,09_06_2022
Bt103,1,11,12,0.914,36252.924,32878,49692,,09_06_2022
Bt103,2,11,12,0.734,36217.932,32195,50398,,09_06_2022
Bt103,3,11,12,0.756,36711.264,32730,52792,,09_06_2022
Bt103,4,11,12,0.942,36330.914,32883,52137,,09_06_2022
Bt103,5,11,12,1.033,37776.177,34065,51530,,09_06_2022
Bt22,1,11,12,2.128,36304.383,32488,65534,,09_06_2022
Bt22,2,11,12,2.268,36060.189,32084,51097,,09_06_2022
Bt22,3,11,12,2.466,35926.327,31703,60221,,09_06_2022
Bt22,4,11,12,1.859,35309.572,31629,50690,,09_06_2022
Bt22,5,11,12,1.722,36186.813,32907,50385,,09_06_2022
Ftc555-1,1,11,18,1.762,38052.974,33109,48854,,09_06_2022
Ftc555-1,2,11,18,1.516,36263.416,32854,51152,,09_06_2022
Ftc555-1,3,11,18,1.852,37739.269,25845,52168,,09_06_2022
Ftc555-1,4,11,18,1.661,36818.113,31784,58450,,09_06_2022
Ftc555-1,5,11,18,1.341,36947.526,30351,51862,,09_06_2022
Bt103,1,11,18,1.273,37607.54,33728,50001,,09_06_2022
Bt103,2,11,18,1.112,37598.945,33268,55600,,09_06_2022
Bt103,3,11,18,1.146,38178.608,32545,50415,,09_06_2022
Bt103,4,11,18,1.294,37172.709,33059,51321,,09_06_2022
Bt103,5,11,18,1.27,38252.177,34237,49287,,09_06_2022
Bt22,1,11,18,6.422,36994.87,30443,65533,,09_06_2022
Bt22,2,11,18,6.561,36260.953,21203,53106,,09_06_2022
Bt22,3,11,18,7.269,36148.537,21887,65534,,09_06_2022
Bt22,4,11,18,5.733,35807.576,25647,60135,,09_06_2022
Bt22,5,11,18,3.57,36990.017,32155,53973,,09_06_2022
