Strain,time,Survival,Percent,Group
H99,1,0,100,A
H99,21,1,80,A
H99,26,2,60,A
H99,27,5,0,A
PBS,1,0,100,B
Bt22,1,0,100,C
Bt22,61,1,90,C
Bt22,84,2,80,C
Bt22,91,3,70,C
Bt22,92,4,60,C
Bt22,94,5,50,C
Bt22,105,6,40,C
Bt22,124,7,30,C
Bt22,127,8,20,C
Ftc555-1,1,0,100,D
Progeny11,1,0,100,E
Progeny11,95,1,90,E
Progeny11,111,2,80,E
Progeny11,124,3,70,E
Progeny11,127,4,60,E
Progeny11,131,5,50,E
Progeny11,134,6,40,E
Progeny11,154,7,30,E
Progeny11,172,9,10,E
Progeny24,1,0,100,F
Progeny24,77,1,90,F
Progeny24,110,2,80,F
Progeny24,124,3,70,F
Progeny24,127,4,60,F
Progeny24,131,5,50,F
Progeny24,140,6,40,F
Progeny24,160,7,30,F
Progeny24,167,8,20,F
Progeny24,172,9,10,F
Progeny31,1,0,100,F
Progeny31,109,1,90,F
Progeny31,127,2,80,F
Progeny31,151,3,70,F
Progeny31,154,4,60,F
Progeny31,160,5,50,F
Progeny40,1,0,100,F
Progeny40,68,1,90,F
Progeny40,74,2,80,F
Progeny40,76,3,70,F
Progeny40,95,6,40,F
Progeny40,96,7,30,F
Progeny40,124,8,20,F
Progeny42,1,0,100,E
