Strain,Replicate,Passage,Day,Area,Mean,Min,Max,Issues,Date
Bt103,1,,1,0.612,39418.267,33873,44918,NA,07_19_2022
Bt103,2,,1,0.561,39082.595,33885,48912,NA,07_19_2022
Bt103,3,,1,0.647,39141.333,33812,47192,NA,07_19_2022
Bt103,4,,1,0.652,39161.361,33483,47208,NA,07_19_2022
Bt103,5,,1,0.389,35889.745,30077,45749,NA,07_19_2022
Bt103,6,,1,0.387,36133.147,30187,44629,NA,07_19_2022
Bt22,1,,1,0.691,38510.253,33798,47046,NA,07_19_2022
Bt22,2,,1,0.69,39133.184,33248,61937,NA,07_19_2022
Bt22,3,,1,0.586,39359.255,34217,45015,NA,07_19_2022
Bt22,4,,1,0.716,38936.152,33293,46093,NA,07_19_2022
Bt22,5,,1,0.376,36143.847,31486,44655,NA,07_19_2022
Bt22,6,,1,0.654,35566.429,30396,48024,NA,07_19_2022
Bt103,1,,12,1.025,38480.522,34264,47756,contaminated,07_19_2022
Bt103,2,,12,0.955,37651.717,33194,47718,NA,07_19_2022
Bt103,3,,12,1.093,37324.805,33050,46902,NA,07_19_2022
Bt103,4,,12,1.135,37609.039,33917,47491,NA,07_19_2022
Bt103,5,,12,1.065,35425.197,31703,48258,NA,07_19_2022
Bt103,6,,12,1.065,36613.793,32287,55109,NA,07_19_2022
Bt22,1,,12,2.7,37702.835,32787,65533,NA,07_19_2022
Bt22,2,,12,2.535,37936.288,34088,56580,NA,07_19_2022
Bt22,3,,12,2.043,36831.499,32430,51815,NA,07_19_2022
Bt22,4,,12,2.411,36996.749,31195,46786,NA,07_19_2022
Bt22,5,,12,2.366,36366.014,32474,51513,NA,07_19_2022
Bt22,6,,12,2.455,34704.296,19524,53797,contaminated,07_19_2022
Bt103,1,,18,1.33,37549.537,18742,48813,contaminated,07_19_2022
Bt103,2,,18,1.255,37403.352,31980,48037,NA,07_19_2022
Bt103,3,,18,1.506,37100.061,32699,46190,NA,07_19_2022
Bt103,4,,18,1.545,37278.636,33449,46893,NA,07_19_2022
Bt103,5,,18,2.129,35707.511,31502,48046,NA,07_19_2022
Bt103,6,,18,1.922,36416.57,31940,65534,NA,07_19_2022
Bt22,1,,18,6.312,36762.474,25664,65000,NA,07_19_2022
Bt22,2,,18,6.449,37371.383,28366,61167,NA,07_19_2022
Bt22,3,,18,5.197,36639.42,30354,54737,NA,07_19_2022
Bt22,4,,18,4.807,36780.039,30673,64729,NA,07_19_2022
Bt22,5,,18,7.315,35039.565,15931,59043,NA,07_19_2022
Bt22,6,,18,4.648,33410.852,11646,61754,contaminated,07_19_2022
F9,1,,1,0.847,38942.879,33352,43193,NA,07_19_2022
F9,2,,1,0.839,39333.761,34247,44537,NA,07_19_2022
F9,3,,1,0.8,38768.429,33346,48147,NA,07_19_2022
F9,4,,1,0.728,39032.65,34299,44246,NA,07_19_2022
F9,5,,1,0.692,36613.81,30918,43611,NA,07_19_2022
F9,6,,1,0.606,36095.307,31118,51273,NA,07_19_2022
Bt75,1,,1,0.483,39743.682,34565,50095,NA,07_19_2022
Bt75,2,,1,0.325,39020.947,34158,55297,NA,07_19_2022
Bt75,3,,1,0.626,35823.455,30390,50769,NA,07_19_2022
Bt75,4,,1,1.07,35074.819,29560,51278,NA,07_19_2022
Bt75,5,,1,0.797,35978.992,30706,52356,NA,07_19_2022
Bt75,6,,1,0.527,35975.366,30754,51986,NA,07_19_2022
F9,1,,12,2.076,36744.064,32334,49932,NA,07_19_2022
F9,2,,12,2.241,37405.473,33590,49506,NA,07_19_2022
F9,3,,12,2.44,36811.331,32572,47326,NA,07_19_2022
F9,4,,12,1.925,37266.178,33774,48529,NA,07_19_2022
F9,5,,12,2.276,34919.042,31254,54106,NA,07_19_2022
F9,6,,12,3.262,35436.055,31030,65532,NA,07_19_2022
Bt75,1,,12,1.252,39213.35,34866,50732,contaminated,07_19_2022
Bt75,2,,12,1.67,39067.868,34400,61085,NA,07_19_2022
Bt75,3,,12,2.309,36035.125,31412,51840,NA,07_19_2022
Bt75,4,,12,2.392,36219.28,31950,50754,NA,07_19_2022
Bt75,5,,12,1.928,37806.576,31607,52701,NA,07_19_2022
Bt75,6,,12,1.904,37916.806,32230,52280,NA,07_19_2022
F9,1,,18,3.732,36997.804,31649,51826,NA,07_19_2022
F9,2,,18,4.943,37665.512,31681,65535,NA,07_19_2022
F9,3,,18,5.278,36809.465,30942,50308,NA,07_19_2022
F9,4,,18,4.919,36974.65,27299,58170,NA,07_19_2022
F9,5,,18,5.443,35204.43,27582,55873,NA,07_19_2022
F9,6,,18,7.118,35899.471,13595,65533,NA,07_19_2022
Bt75,1,,18,2.107,39860.037,31310,61466,contaminated,07_19_2022
Bt75,2,,18,5.196,38369.513,29529,60751,NA,07_19_2022
Bt75,3,,18,4.905,35790.727,26107,52627,NA,07_19_2022
Bt75,4,,18,4.491,35639.97,30604,65334,NA,07_19_2022
Bt75,5,,18,4.145,37078.375,30588,53530,NA,07_19_2022
Bt75,6,,18,4.859,37002.434,29559,60746,NA,07_19_2022
Ftc555-1,1,,1,0.792,39601.061,34372,44035,NA,07_19_2022
Ftc555-1,2,,1,0.677,39269.531,34419,47980,NA,07_19_2022
Ftc555-1,3,,1,0.653,38994.8,31087,43473,NA,07_19_2022
Ftc555-1,4,,1,0.718,39756.566,34211,46611,NA,07_19_2022
Ftc555-1,5,,1,0.647,36877.78,25741,42413,NA,07_19_2022
Ftc555-1,6,,1,0.572,36683,31635,52328,NA,07_19_2022
Bt45,1,,1,0.901,39136.719,34036,48838,NA,07_19_2022
Bt45,2,,1,0.935,38854.58,33841,61110,NA,07_19_2022
Bt45,3,,1,0.783,39181.935,34142,51033,NA,07_19_2022
Bt45,4,,1,0.96,39012.956,33744,49888,NA,07_19_2022
Bt45,5,,1,0.259,35396.202,31486,46071,NA,07_19_2022
Bt45,6,,1,0.592,35809.573,30895,50401,NA,07_19_2022
Ftc555-1,1,,12,1.378,38234.608,33453,47853,NA,07_19_2022
Ftc555-1,2,,12,1.259,37872.198,34533,47337,NA,07_19_2022
Ftc555-1,3,,12,1.21,37609.919,33617,51560,NA,07_19_2022
Ftc555-1,4,,12,1.252,38515.872,33615,52505,NA,07_19_2022
Ftc555-1,5,,12,1.354,36348.195,19352,54495,NA,07_19_2022
Ftc555-1,6,,12,1.204,36840.248,31051,65533,NA,07_19_2022
Bt45,1,,12,1.719,38709.315,34222,50396,NA,07_19_2022
Bt45,2,,12,1.961,37816.019,33789,60444,NA,07_19_2022
Bt45,3,,12,1.576,37676.395,33542,52232,NA,07_19_2022
Bt45,4,,12,1.676,37883.615,33947,52676,NA,07_19_2022
Bt45,5,,12,1.634,37263.094,30868,48616,NA,07_19_2022
Bt45,6,,12,1.84,36998.536,32725,48083,NA,07_19_2022
Ftc555-1,1,,18,1.889,38519.25,34026,52665,NA,07_19_2022
Ftc555-1,2,,18,1.949,37991.641,33971,50487,NA,07_19_2022
Ftc555-1,3,,18,1.745,37510.239,33469,51605,NA,07_19_2022
Ftc555-1,4,,18,1.663,38084.132,32736,49604,NA,07_19_2022
Ftc555-1,5,,18,2.175,36470.068,21438,47483,NA,07_19_2022
Ftc555-1,6,,18,1.915,36868.631,32309,65534,NA,07_19_2022
Bt45,1,,18,3.005,38536.799,33848,61160,NA,07_19_2022
Bt45,2,,18,3.677,37298.905,32890,58323,NA,07_19_2022
Bt45,3,,18,2.67,37398.316,32955,50293,NA,07_19_2022
Bt45,4,,18,2.516,37097.515,32562,52260,NA,07_19_2022
Bt45,5,,18,4.638,36200.435,28894,48774,NA,07_19_2022
Bt45,6,,18,4.927,35917.142,24749,59870,NA,07_19_2022
