Strain,Replicate,Day,Area,Mean,Min,Max,cleared,plate_coverage,age
33,2,1,0.256,19822.792,18322,24032,0,,
33,1,1,0.264,20862.132,18907,28746,1,,
32,2,1,0.191,19022.268,18449,26216,1,,
32,1,1,0.256,19504.708,18439,26569,0,,
35,2,1,0.284,19309.938,18152,22357,0,,
35,1,1,0.308,19458.642,18395,23484,0,,
34,2,1,0.307,19832.464,18485,25962,0,,
34,1,1,0.346,19872.272,18298,26015,0,,
37,2,1,0.275,19974.893,18795,21741,0,,
37,1,1,0.447,20500.827,18720,22689,0,,
36,2,1,0.473,20001.139,18169,28131,0,,
36,1,1,0.322,20244.986,18515,27925,0,,
33,2,2,0.261,19150.082,18448,25232,1,,
33,1,2,0.21,20541.13,18500,29810,0,,
32,2,2,0.19,18934.446,18179,27939,1,,
32,1,2,0.229,19301.971,18382,26634,1,,
35,2,2,0.308,19119.624,18223,22792,0,,
35,1,2,0.298,19188.42,18252,24173,0,,
34,2,2,0.311,19569.462,18563,25700,0,,
34,1,2,0.372,19898.914,18511,25625,0,,
37,2,2,0.254,19221.61,18438,22802,1,,
37,1,2,0.461,20139.154,18748,24352,0,,
36,2,2,0.331,19724.018,18322,27598,0,,
36,1,2,0.301,20239.661,18548,27463,0,,
33,2,3,0.331,18864.324,18265,26404,1,,
33,1,3,0.202,20242.108,18513,30202,0,,
32,2,3,0.255,18664.529,17903,26288,1,,
32,1,3,0.313,18871.658,18085,27595,1,,
35,2,3,0.296,19024.713,18211,25267,1,,
35,1,3,0.283,19062.924,18164,25487,1,,
34,2,3,0.334,19512.157,18671,25084,1,,
34,1,3,0.353,19914.368,18649,25515,0,,
37,2,3,0.264,18994.639,18377,25228,1,,
37,1,3,0.287,19579.798,18623,27185,1,,
36,2,3,0.423,19264.89,18208,27077,1,,
36,1,3,0.332,19728.695,18421,26908,1,,
33,2,4,0.458,18889.265,18291,25873,1,,
33,1,4,0.235,20104.866,18552,29594,0,,
32,2,4,0.393,18829.713,18156,26346,1,,
32,1,4,0.413,19149.984,18375,26146,1,,
35,2,4,0.298,19022.834,17790,26633,1,,
35,1,4,0.284,19002.63,18313,26022,1,,
34,2,4,0.376,19646.803,18768,23709,0,,
34,1,4,0.364,19896.641,18709,25454,0,,
37,2,4,0.321,19205.111,18463,23661,1,,
37,1,4,0.33,19345.578,18573,26383,1,,
36,2,4,0.58,19276.035,18104,27694,1,,
36,1,4,0.362,19456.714,18320,26487,1,,
33,2,5,0.766,18847.25,17215,25640,1,,
33,1,5,0.249,19961.276,18570,28519,0,,
32,2,5,0.652,18775.639,18115,26238,1,,
32,1,5,0.58,19236.546,18400,26118,1,,
35,2,5,0.34,19019.623,18113,26268,1,,
35,1,5,0.345,19029.003,18410,25896,1,,
34,2,5,0.452,19631.981,18544,25481,1,,
34,1,5,0.342,20083.142,18853,25434,0,,
37,2,5,0.413,19229.18,18456,24140,1,,
37,1,5,0.429,19396.665,18592,25504,1,,
36,2,5,0.675,19017.256,17873,27627,1,,
36,1,5,0.44,19541.948,18369,26908,1,,
33,2,6,1.503,18884.2,17463,26076,1,,
33,1,6,0.272,20358.55,18660,30822,0,,
32,2,6,1.264,18818.609,18195,26421,1,,
32,1,6,0.96,19248.459,18472,27352,1,,
35,2,6,0.413,19097.501,283,65286,1,,
35,1,6,0.429,19610.626,3,65534,1,,
34,2,6,0.563,20552.77,3,65530,1,,
34,1,6,0.311,21028.826,24,65534,0,,
37,2,6,0.563,19285.201,18532,24341,1,,
37,1,6,0.534,19371.137,18497,26890,1,,
36,2,6,0.78,18975.506,18068,26627,1,,
36,1,6,0.526,19557.601,18461,26155,1,,
33,2,7,2.478,18842.437,16531,26925,1,,
33,1,7,0.289,20289.907,18573,30682,0,,
32,2,7,2.062,18747.977,18144,26229,1,,
32,1,7,1.507,19214.762,18473,27412,1,,
35,2,7,0.484,18877.721,17959,24753,1,,
35,1,7,0.491,18892.604,18268,28926,1,,
34,2,7,0.709,19454.025,18291,24967,1,,
34,1,7,0.33,19959.766,18886,26121,0,,
37,2,7,0.743,19171.937,18301,25370,1,,
37,1,7,0.633,19315.099,18311,27298,1,,
36,2,7,0.9,18822.321,17967,26781,1,,
36,1,7,0.605,19473.077,18353,27390,1,,
33,2,8,3.753,34446.741,156,65535,1,,
33,1,8,0.321,37827.144,32128,61028,0,,
32,2,8,3.251,34085.032,232,65110,1,,
32,1,8,2.357,35179.305,116,65505,1,,
35,2,8,0.539,34399.725,31419,63042,1,,
35,1,8,0.56,34291.899,30974,56770,1,,
34,2,8,0.884,35497.284,32117,48483,1,,
34,1,8,0.335,36641.206,32624,49420,0,,
37,2,8,1.002,35271.52,31620,55366,1,,
37,1,8,0.742,35236.385,31295,50842,1,,
36,2,8,1.038,34331.079,30817,50627,1,,
36,1,8,0.69,35485.1,26007,53276,1,,
33,2,9,5.332,34460.625,28164,65535,1,,
33,1,9,0.418,37704.013,32259,59586,0,,
32,2,9,4.79,33993.418,26800,50543,1,,
32,1,9,3.613,35136.971,26713,65535,1,,
35,2,9,0.651,34410.047,31252,63237,1,,
35,1,9,0.663,34501.266,31017,53453,1,,
34,2,9,1.16,35643.632,31365,50984,1,,
34,1,9,0.337,36978.072,32142,49266,0,,
37,2,9,1.355,35370.565,31391,62333,1,,
37,1,9,0.907,35370.785,31836,52424,1,,
36,2,9,1.426,34660.779,30835,53360,1,,
36,1,9,0.871,35873.718,27595,54269,1,,
33,2,10,6.712,34486.823,27230,53142,1,,
33,1,10,0.461,38041.524,32028,65535,0,,
32,2,10,6.3,33817.752,25738,65535,1,,
32,1,10,4.861,34957.56,26242,62648,1,,
35,2,10,0.743,34454.19,31104,47189,1,,
35,1,10,0.763,34626.588,31266,51948,1,,
34,2,10,1.456,35808.673,29865,47512,1,,
34,1,10,0.338,37126.076,32986,49024,0,,
37,2,10,1.721,35529.935,29935,56428,1,,
37,1,10,1.042,35260.023,31888,53924,1,,
36,2,10,1.628,34647.022,30931,52690,1,,
36,1,10,0.921,35705.447,31955,54535,1,,
33,2,11,7.603,34846.527,13829,65535,1,,
33,1,11,0.491,37874.744,31902,60996,0,,
32,2,11,7.377,33841.875,21865,65535,1,,
32,1,11,6.207,35144.49,27728,64247,1,,
35,2,11,0.823,34199.067,30792,65535,1,,
35,1,11,0.858,34622.411,31019,51435,1,,
34,2,11,1.799,35928.357,31281,51326,1,,
34,1,11,0.329,37361.227,32727,47819,0,,
37,2,11,2.155,35586.327,28626,65535,1,,
37,1,11,1.205,35325.24,31656,51794,1,,
36,2,11,1.764,34708.656,30661,54433,1,,
36,1,11,1.296,36305.354,30197,55661,1,,
33,2,12,7.493,34684.872,13624,65535,1,,
33,1,12,,,,,0,,
32,2,12,8.288,33541.289,9903,65535,1,,
32,1,12,7.332,34950.859,20475,63092,1,,
35,2,12,0.942,34160.091,7,65525,1,,
35,1,12,0.979,34687.202,7,65534,1,,
34,2,12,2.061,35642.014,3,65533,1,,
34,1,12,0.406,37638.428,32584,49357,0,,
37,2,12,2.76,35670.738,29388,61444,1,,
37,1,12,1.415,35386.452,31850,49233,1,,
36,2,12,2.013,34768.146,30854,54298,1,,
36,1,12,1.588,36416.802,29240,56120,1,,
41,2,1,0.179,18912.39,18292,24803,1,,
41,1,1,0.352,19919.212,18267,27198,0,,
