"","Strain","Replicate","Passage","Date","Area.18"
"1","2346","1","12","08_26_2022",49.9224808
"2","2346","2","12","08_26_2022",51.7031224
"3","2346","3","12","08_26_2022",56.225694
"4","2346","4","12","08_26_2022",53.5998928
"5","2346","5","12","08_26_2022",57.7353684
"6","2347","1","12","08_26_2022",51.9482832
"7","2347","2","12","08_26_2022",53.0902164
"8","2347","3","12","08_26_2022",54.8902128
"9","2347","4","12","08_26_2022",53.4644092
"10","2347","5","12","08_26_2022",47.2773248
"11","Ad1-7a","1","12","08_26_2022",42.7160436
"12","Ad1-7a","2","12","08_26_2022",53.8837632
"13","Ad1-7a","3","12","08_26_2022",53.6708604
"14","Ad1-7a","4","12","08_26_2022",40.3289516
"15","Ad1-7a","5","12","08_26_2022",54.3160204
"16","Bt102","1","12","08_26_2022",9.7612708
"17","Bt102","2","12","08_26_2022",9.8128836
"18","Bt102","3","12","08_26_2022",8.9096596
"19","Bt102","4","12","08_26_2022",8.9225628
"20","Bt102","5","12","08_26_2022",10.9935264
"21","Bt130","1","12","08_26_2022",15.419324
"22","Bt130","2","12","08_26_2022",10.9419136
"23","Bt130","3","12","08_26_2022",18.3677052
"24","Bt130","4","12","08_26_2022",19.5418964
"25","Bt130","5","12","08_26_2022",22.4064068
"26","Bt206","1","12","08_26_2022",13.6902952
"27","Bt206","2","12","08_26_2022",15.5031948
"28","Bt206","3","12","08_26_2022",12.4064268
"29","Bt206","4","12","08_26_2022",13.0128772
"30","Bt206","5","12","08_26_2022",13.354812
"31","Bt22","1","12","08_26_2022",49.3999012
"32","Bt22","2","12","08_26_2022",52.09667
"33","Bt22","3","12","08_26_2022",55.5934372
"34","Bt65","1","12","08_26_2022",5.7935368
"35","Bt65","2","12","08_26_2022",5.9290204
"36","Bt65","3","12","08_26_2022",5.5419244
"37","Bt65","4","12","08_26_2022",5.7677304
"38","Bt65","5","12","08_26_2022",6.3677292
"39","F1","1","12","08_26_2022",56.3095648
"40","F1","2","12","08_26_2022",56.8644024
"41","F1","3","12","08_26_2022",55.128922
"42","F1","4","12","08_26_2022",54.4966652
"43","F1","5","12","08_26_2022",55.4902116
"44","Ftc192-1","1","12","08_26_2022",18.5418984
"45","Ftc192-1","2","12","08_26_2022",22.8515672
"46","Ftc192-1","3","12","08_26_2022",22.1160848
"47","Ftc192-1","4","12","08_26_2022",21.4709248
"48","Ftc192-1","5","12","08_26_2022",19.3354452
"49","Ftc267-1","1","12","08_26_2022",13.1548124
"50","Ftc267-1","2","12","08_26_2022",11.548364
"51","Ftc267-1","3","12","08_26_2022",14.2709392
"52","Ftc267-1","4","12","08_26_2022",15.2451308
"53","Ftc267-1","5","12","08_26_2022",14.451584
"54","Ftc555-1","1","12","08_26_2022",11.3483644
"55","Ftc555-1","2","12","08_26_2022",14.5225516
"56","Ftc555-1","3","12","08_26_2022",17.9418996
"57","H99","1","12","08_26_2022",55.0256964
"58","H99","2","12","08_26_2022",56.1869844
"59","H99","3","12","08_26_2022",54.1031176
"60","H99","4","12","08_26_2022",33.9934804
"61","H99","5","12","08_26_2022",45.2644256
