Strain,Day,Replicate,Stack,plate,passage,Area,Mean,Min,Max,issues
B960,1,1,1,p2_1,10,0.268,20737.321,18336,23488,
B377,1,1,1,p2_1,10,0.352,20349.177,17239,25692,
C031,1,1,1,p2_1,10,0.03,19746.096,18081,24509,
B560,1,1,1,p2_1,10,0.786,20653.039,16551,27029,
B313,1,1,1,p2_1,10,0.598,20776.284,17215,25699,
B887_cor,1,1,1,p2_1,10,0.097,20857.606,18288,28200,
C272,1,1,1,p2_1,10,0.949,20819.746,16169,29019,
C242,1,1,1,p2_1,10,0.532,21357.11,18833,28168,
C031_cor,1,1,1,p2_1,10,0.226,21703.683,18497,28375,
B316,1,1,1,p2_1,10,0.093,21216.179,18684,27267,
C029,1,1,1,p2_1,10,0.136,21244.972,18249,27876,
B350,1,1,1,p2_1,10,0.119,21471.288,19090,27161,
B908,1,1,2,p2_1,10,0.133,21486.065,18965,24984,
B356,1,1,2,p2_1,10,0.682,20203.797,16643,24236,
B886_cor,1,1,2,p2_1,10,0.724,20417.361,16762,45044,
B308,1,1,2,p2_1,10,0.088,21161.915,18281,27070,
B575,1,1,2,p2_1,10,0.227,21194.531,19009,28848,
C291,1,1,2,p2_1,10,0.157,21276.9,18767,24909,
431alpha,1,1,2,p2_1,10,0.228,19479.516,16552,29639,
C029_cor,1,1,2,p2_1,10,0.186,20339.663,17355,24813,
B886,1,1,2,p2_1,10,0.199,20825.632,17994,25773,
B315,1,1,2,p2_1,10,0.716,20529.873,17519,26724,
C026,1,1,2,p2_1,10,0.179,20429.567,17459,26781,
B354,1,1,2,p2_1,10,0.568,20435.34,17486,25299,
XL280alpha,1,1,3,p2_1,10,0.346,21357.707,18613,25252,
C033,1,1,3,p2_1,10,0.158,21203.725,18403,28486,
B892,1,1,3,p2_1,10,0.1,20589.404,17869,27338,
C271,1,1,3,p2_1,10,0.2,21066.645,18063,25998,
B570,1,1,3,p2_1,10,0.343,20969.986,18519,25470,
C036,1,1,3,p2_1,10,0.183,20923.201,18477,27484,
B307,1,1,3,p2_1,10,0.639,21013.666,18188,25221,
B872,1,1,3,p2_1,10,0.258,21287.36,18661,28017,
B314,1,1,3,p2_1,10,0.105,21886.024,19204,27792,
C039,1,1,3,p2_1,10,0.212,20059.2,17742,26188,
B890,1,1,3,p2_1,10,0.568,20388.683,17311,29397,
B874_cor,1,1,3,p2_1,10,0.787,19291.568,15864,31311,
B317,1,1,4,p2_1,10,0.17,20097.484,18484,26290,
B311,1,1,4,p2_1,10,0.153,20467.15,17544,26399,
B382,1,1,4,p2_1,10,0.538,21423.63,18514,48306,
B930,1,1,4,p2_1,10,0.68,21234.559,13079,27418,
XL280a,1,1,4,p2_1,10,0.155,20376.291,17981,28763,
B906,1,1,4,p2_1,10,0.111,21349.11,18258,29227,
B896,1,1,4,p2_1,10,0.066,21584.992,17109,25174,
B874,1,1,4,p2_1,10,0.157,22023.274,18955,23972,
B518,1,1,4,p2_1,10,0.298,20649.803,18070,28202,
B901,1,1,4,p2_1,10,0.086,21700.215,18499,28552,
B887,1,1,4,p2_1,10,0.112,21680.643,18499,28552,
B410,1,1,4,p2_1,10,0.15,21255.03,17866,27537,
B373,1,1,5,p2_1,10,0.364,21313.122,18563,32544,
C290,1,1,5,p2_1,10,0.608,21265.865,18364,26221,
B961,1,1,5,p2_1,10,0.31,21625.603,18680,26884,
B310,1,1,5,p2_1,10,0.189,20071.428,16534,27890,
B898,1,1,5,p2_1,10,0.738,21260.011,17786,30033,
B358,1,1,5,p2_1,10,0.13,20508.033,18585,24354,
B929,1,1,5,p2_1,10,0.53,20913.688,17742,26548,
C030,1,1,5,p2_1,10,0.086,21493.237,18762,28258,
B873,1,1,5,p2_1,10,0.522,21422.524,18607,27358,
B312,1,1,5,p2_1,10,0.687,20705.127,17424,30024,
