Strain,Replicate,Stack,passage,plate,Area.1,Area.12
431alpha,1,2,10,p2_1,1.4709648000000004,11.658041200000001
431alpha,1,1,11,p1_1,1.5870936,17.741899999999998
431alpha,2,2,4,2_2-1_2_firsthalf,1.4451584,17.270933199999998
431alpha,2,5,5,2_2-1_2_secondhalf,1.5677387999999999,22.199955600000003
431alpha,3,1,9,2_3-1_3_secondhalf,2.4193499999999992,10.696752799999999
431alpha,3,4,7,2_3-1_3_firsthalf,1.193546,14.083842799999998
B307,1,3,10,p2_1,4.122572400000002,30.4902616
B307,2,4,5,2_2-1_2_secondhalf,4.4838619999999985,12.509652400000002
B307,3,1,9,2_3-1_3_secondhalf,1.9741895999999999,18.096738000000006
B308,1,2,10,p2_1,0.5677408,11.967717999999998
B308,2,1,4,2_2-1_2_firsthalf,0.38064439999999994,9.258045999999998
B310,1,5,10,p2_1,1.2193524,11.3419128
B310,2,3,4,2_2-1_2_firsthalf,1.0064495999999998,14.1999716
B310,3,5,7,2_3-1_3_firsthalf,1.29032,53.45795760000001
B311,1,4,10,p2_1,0.9870948,6.670954399999999
B311,2,1,5,2_2-1_2_secondhalf,2.4838660000000004,16.109645200000003
B311,3,1,9,2_3-1_3_secondhalf,0.6322568000000001,5.580633999999999
B312,1,5,10,p2_1,4.432249200000002,22.619309599999998
B312,2,4,5,2_2-1_2_secondhalf,1.7225772000000001,31.683807600000005
B312,3,4,7,2_3-1_3_firsthalf,4.419346,8.0451452
B313,1,1,10,p2_1,3.8580568000000004,27.799944400000005
B313,2,3,4,2_2-1_2_firsthalf,3.9096695999999995,14.109649200000003
B313,3,3,7,2_3-1_3_firsthalf,2.7225752000000005,13.032231999999999
B314,1,3,10,p2_1,0.6774179999999999,12.6064264
B314,2,3,5,2_2-1_2_secondhalf,0.5677408,5.1483768
B314,3,1,9,2_3-1_3_secondhalf,0.9935464000000002,5.9225688
B315,1,2,10,p2_1,4.6193456,6.587083600000002
B315,2,5,5,2_2-1_2_secondhalf,1.2451587999999998,37.019280800000004
B315,3,3,9,2_3-1_3_secondhalf,2.5225756,1.8064480000000003
B316,1,1,10,p2_1,0.5999988000000002,6.303213200000001
B316,2,2,4,2_2-1_2_firsthalf,0.6709664000000001,3.1999936
B316,3,1,7,2_3-1_3_firsthalf,0.39999920000000005,2.2322536
B317,1,4,10,p2_1,1.0967720000000003,54.61924559999999
B317,2,4,5,2_2-1_2_secondhalf,1.3612876000000003,21.135441599999996
B317,3,4,9,2_3-1_3_secondhalf,1.5870936,23.245114800000003
B350,1,1,10,p2_1,0.7677404,36.43863680000001
B350,2,1,4,2_2-1_2_firsthalf,4.690313199999999,6.1741812000000005
B353,1,4,11,p1_1,0.6387083999999998,4.645152
B354,1,2,10,p2_1,3.6645088000000006,17.4451264
B354,2,5,4,2_2-1_2_firsthalf,4.1935400000000005,9.064498
B354,3,5,7,2_3-1_3_firsthalf,1.2451587999999998,53.3418288
B356,1,2,10,p2_1,4.3999912,6.767728399999999
B356,2,2,5,2_2-1_2_secondhalf,2.7806396,9.8644964
B356,3,4,9,2_3-1_3_secondhalf,2.2387051999999996,4.0387016000000004
B357,1,2,11,p1_1,1.1225784,9.51611
B357,2,3,5,2_2-1_2_secondhalf,2.1870924000000005,15.658033200000002
B357,3,1,7,2_3-1_3_firsthalf,0.9806432,12.296749599999998
B358,1,5,10,p2_1,0.8387080000000002,54.786987200000006
