"";"Strains";"Replicate";"Day";"Area";"Mean";"Min";"Max";"cleared";"plate_coverage";"age";"date"
"1";"33";2;1;0,256;19822,792;18322;24032;0;NA;NA;"10_29_2019"
"2";"33";1;1;0,264;20862,132;18907;28746;1;NA;NA;"10_29_2019"
"3";"32";2;1;0,191;19022,268;18449;26216;1;NA;NA;"10_29_2019"
"4";"32";1;1;0,256;19504,708;18439;26569;0;NA;NA;"10_29_2019"
"5";"35";2;1;0,284;19309,938;18152;22357;0;NA;NA;"10_29_2019"
"6";"35";1;1;0,308;19458,642;18395;23484;0;NA;NA;"10_29_2019"
"7";"34";2;1;0,307;19832,464;18485;25962;0;NA;NA;"10_29_2019"
"8";"34";1;1;0,346;19872,272;18298;26015;0;NA;NA;"10_29_2019"
"9";"37";2;1;0,275;19974,893;18795;21741;0;NA;NA;"10_29_2019"
"10";"37";1;1;0,447;20500,827;18720;22689;0;NA;NA;"10_29_2019"
"11";"36";2;1;0,473;20001,139;18169;28131;0;NA;NA;"10_29_2019"
"12";"36";1;1;0,322;20244,986;18515;27925;0;NA;NA;"10_29_2019"
"13";"33";2;2;0,261;19150,082;18448;25232;1;NA;NA;"10_29_2019"
"14";"33";1;2;0,21;20541,13;18500;29810;0;NA;NA;"10_29_2019"
"15";"32";2;2;0,19;18934,446;18179;27939;1;NA;NA;"10_29_2019"
"16";"32";1;2;0,229;19301,971;18382;26634;1;NA;NA;"10_29_2019"
"17";"35";2;2;0,308;19119,624;18223;22792;0;NA;NA;"10_29_2019"
"18";"35";1;2;0,298;19188,42;18252;24173;0;NA;NA;"10_29_2019"
"19";"34";2;2;0,311;19569,462;18563;25700;0;NA;NA;"10_29_2019"
"20";"34";1;2;0,372;19898,914;18511;25625;0;NA;NA;"10_29_2019"
"21";"37";2;2;0,254;19221,61;18438;22802;1;NA;NA;"10_29_2019"
"22";"37";1;2;0,461;20139,154;18748;24352;0;NA;NA;"10_29_2019"
"23";"36";2;2;0,331;19724,018;18322;27598;0;NA;NA;"10_29_2019"
"24";"36";1;2;0,301;20239,661;18548;27463;0;NA;NA;"10_29_2019"
"25";"33";2;3;0,331;18864,324;18265;26404;1;NA;NA;"10_29_2019"
"26";"33";1;3;0,202;20242,108;18513;30202;0;NA;NA;"10_29_2019"
"27";"32";2;3;0,255;18664,529;17903;26288;1;NA;NA;"10_29_2019"
"28";"32";1;3;0,313;18871,658;18085;27595;1;NA;NA;"10_29_2019"
"29";"35";2;3;0,296;19024,713;18211;25267;1;NA;NA;"10_29_2019"
"30";"35";1;3;0,283;19062,924;18164;25487;1;NA;NA;"10_29_2019"
"31";"34";2;3;0,334;19512,157;18671;25084;1;NA;NA;"10_29_2019"
"32";"34";1;3;0,353;19914,368;18649;25515;0;NA;NA;"10_29_2019"
"33";"37";2;3;0,264;18994,639;18377;25228;1;NA;NA;"10_29_2019"
"34";"37";1;3;0,287;19579,798;18623;27185;1;NA;NA;"10_29_2019"
"35";"36";2;3;0,423;19264,89;18208;27077;1;NA;NA;"10_29_2019"
"36";"36";1;3;0,332;19728,695;18421;26908;1;NA;NA;"10_29_2019"
"37";"33";2;4;0,458;18889,265;18291;25873;1;NA;NA;"10_29_2019"
"38";"33";1;4;0,235;20104,866;18552;29594;0;NA;NA;"10_29_2019"
"39";"32";2;4;0,393;18829,713;18156;26346;1;NA;NA;"10_29_2019"
"40";"32";1;4;0,413;19149,984;18375;26146;1;NA;NA;"10_29_2019"
