PMY,QTL,replicate,IPR,Strain,Group
PMY2649,Bt22,1,8,Bt22,A
PMY2649,Bt22,2,4.1,Bt22,A
PMY2649,Bt22,3,7.3,Bt22,A
PMY2649,Bt22,4,3.3,Bt22,A
PMY2649,Bt22,5,4.7,Bt22,A
PMY2649,Bt22,6,4,Bt22,A
PMY2649,Bt22,7,3.5,Bt22,A
PMY2649,Bt22,8,6,Bt22,A
PMY2649,Bt22,9,4,Bt22,A
PMY2649,Bt22,10,3,Bt22,A
PMY2649,Bt22,11,5.5,Bt22,A
PMY2649,Bt22,12,2.5,Bt22,A
PMY2649,Bt22,13,5.5,Bt22,A
PMY2649,Bt22,14,7,Bt22,A
PMY2649,Bt22,15,3.5,Bt22,A
PMY2649,Bt22,16,1.5,Bt22,A
PMY2649,Bt22,17,3,Bt22,A
PMY2649,Bt22,18,1.5,Bt22,A
PMY2649,Bt22,19,4,Bt22,A
PMY2649,Bt22,20,5,Bt22,A
PMY2649,Bt22,21,4,Bt22,A
PMY2650,Ftc555-1,1,6.7,Ftc555-1,B
PMY2650,Ftc555-1,2,5.8,Ftc555-1,B
PMY2650,Ftc555-1,3,4,Ftc555-1,B
PMY2650,Ftc555-1,4,6.7,Ftc555-1,B
PMY2650,Ftc555-1,5,8.7,Ftc555-1,B
PMY2650,Ftc555-1,6,6,Ftc555-1,B
PMY2650,Ftc555-1,7,4.5,Ftc555-1,B
PMY2650,Ftc555-1,8,5,Ftc555-1,B
PMY2650,Ftc555-1,9,3.5,Ftc555-1,B
PMY2650,Ftc555-1,10,3,Ftc555-1,B
PMY2650,Ftc555-1,11,2,Ftc555-1,B
PMY2650,Ftc555-1,12,2,Ftc555-1,B
PMY2650,Ftc555-1,13,4,Ftc555-1,B
PMY2650,Ftc555-1,14,5.5,Ftc555-1,B
PMY2650,Ftc555-1,15,3,Ftc555-1,B
PMY2650,Ftc555-1,16,1.5,Ftc555-1,B
PMY2650,Ftc555-1,17,1.5,Ftc555-1,B
PMY2650,Ftc555-1,18,1.5,Ftc555-1,B
PMY2650,Ftc555-1,19,4.5,Ftc555-1,B
PMY2650,Ftc555-1,20,6,Ftc555-1,B
PMY2650,Ftc555-1,21,6,Ftc555-1,B
PMY2765,Ftc555-1,1,7.3,PMY2765,C
PMY2765,Ftc555-1,2,4,PMY2765,C
PMY2765,Ftc555-1,3,6.7,PMY2765,C
PMY2765,Ftc555-1,4,2.7,PMY2765,C
PMY2765,Ftc555-1,5,4.7,PMY2765,C
PMY2765,Ftc555-1,6,4.7,PMY2765,C
PMY2765,Ftc555-1,7,1,PMY2765,C
PMY2765,Ftc555-1,8,2.5,PMY2765,C
PMY2765,Ftc555-1,9,1,PMY2765,C
PMY2765,Ftc555-1,10,1.5,PMY2765,C
PMY2765,Ftc555-1,11,1.5,PMY2765,C
PMY2765,Ftc555-1,12,2.5,PMY2765,C
PMY2768,Ftc555-1,1,9.5,PMY2768,C
PMY2768,Ftc555-1,2,11.5,PMY2768,C
PMY2768,Ftc555-1,3,8.5,PMY2768,C
PMY2768,Ftc555-1,4,7,PMY2768,C
PMY2768,Ftc555-1,5,9.5,PMY2768,C
PMY2768,Ftc555-1,6,10,PMY2768,C
PMY2768,Ftc555-1,7,14.5,PMY2768,C
PMY2768,Ftc555-1,8,12,PMY2768,C
PMY2768,Ftc555-1,9,8.5,PMY2768,C
PMY2768,Ftc555-1,10,5.5,PMY2768,C
PMY2768,Ftc555-1,11,7,PMY2768,C
PMY2768,Ftc555-1,12,6,PMY2768,C
PMY2768,Ftc555-1,13,24,PMY2768,C
PMY2768,Ftc555-1,14,19.5,PMY2768,C
PMY2768,Ftc555-1,15,17.5,PMY2768,C
PMY2715,Bt22,1,4.5,PMY2715,D
PMY2715,Bt22,2,7.5,PMY2715,D
PMY2715,Bt22,3,3,PMY2715,D
PMY2570,Bt22,1,2,PMY2570,D
PMY2570,Bt22,2,2.7,PMY2570,D
PMY2570,Bt22,3,2,PMY2570,D
PMY2570,Bt22,4,2.7,PMY2570,D
PMY2570,Bt22,5,3.3,PMY2570,D
PMY2570,Bt22,6,2,PMY2570,D
PMY2570,Bt22,7,3.5,PMY2570,D
PMY2570,Bt22,8,1.5,PMY2570,D
PMY2570,Bt22,9,0.5,PMY2570,D
PMY2570,Bt22,10,2.5,PMY2570,D
PMY2570,Bt22,11,1,PMY2570,D
PMY2570,Bt22,12,1.5,PMY2570,D
PMY2581,Bt22,1,2,PMY2581,D
PMY2581,Bt22,2,1,PMY2581,D
PMY2581,Bt22,3,3.5,PMY2581,D
PMY2581,Bt22,4,1,PMY2581,D
PMY2581,Bt22,5,2,PMY2581,D
PMY2581,Bt22,6,0,PMY2581,D
PMY2581,Bt22,7,2.5,PMY2581,D
PMY2581,Bt22,8,4.5,PMY2581,D
PMY2581,Bt22,9,3,PMY2581,D
PMY2581,Bt22,10,1,PMY2581,D
PMY2581,Bt22,11,1,PMY2581,D
PMY2581,Bt22,12,1,PMY2581,D
PMY2911,Bt22,1,11.5,PMY2911,D
PMY2911,Bt22,2,8.5,PMY2911,D
PMY2911,Bt22,3,9.5,PMY2911,D
PMY2911,Bt22,4,12,PMY2911,D
PMY2911,Bt22,5,11,PMY2911,D
PMY2911,Bt22,6,10.5,PMY2911,D
