PMY,Plate,Thomas_label,Used,SNPs,Tecan,Amoeba,Clone,Clone_used,Clone_group,Low_coverage,Corrected,Aneuploidy,Poor_growth
PMY2556,Plate 2 New Crosses,1,y,y,y,y,y,y,1,n,n,n,n
PMY2557,Plate 2 New Crosses,2,n,y,y,y,y,n,1,n,n,n,n
PMY2558,Plate 2 New Crosses,3,y,y,y,y,n,y,0,n,n,n,y
PMY2559,Plate 2 New Crosses,4,y,y,y,y,y,y,2,n,n,n,n
PMY2560,Plate 2 New Crosses,5,y,y,y,y,y,y,3,n,n,n,n
PMY2561,Plate 2 New Crosses,6,y,y,y,y,y,y,4,n,n,n,n
PMY2562,Plate 2 New Crosses,7,n,y,y,y,y,n,3,n,n,n,n
PMY2563,Plate 2 New Crosses,8,y,y,y,y,n,y,0,y,y,n,n
PMY2564,Plate 2 New Crosses,9,y,y,y,y,y,y,5,n,n,n,n
PMY2565,Plate 2 New Crosses,10,y,y,y,y,n,y,0,n,n,n,n
PMY2566,Plate 2 New Crosses,11,n,y,y,y,y,n,1,n,n,n,n
PMY2567,Plate 2 New Crosses,12,y,y,y,y,y,y,6,n,n,n,n
PMY2568,Plate 2 New Crosses,13,y,y,y,y,y,y,7,n,n,n,n
PMY2569,Plate 2 New Crosses,14,y,y,y,y,n,y,0,n,n,n,n
PMY2570,Plate 2 New Crosses,15,y,y,y,y,y,y,8,n,n,n,n
PMY2571,Plate 2 New Crosses,16,n,y,y,y,y,n,8,n,n,n,n
PMY2572,Plate 2 New Crosses,17,y,y,y,y,y,y,9,n,n,n,n
PMY2573,Plate 2 New Crosses,18,y,y,y,y,y,y,10,n,n,n,n
PMY2574,Plate 2 New Crosses,19,n,y,y,y,y,n,1,n,n,n,n
PMY2575,Plate 2 New Crosses,20,y,y,y,y,y,y,11,n,n,n,n
PMY2576,Plate 2 New Crosses,21,y,y,y,y,n,y,0,n,n,n,n
PMY2577,Plate 2 New Crosses,22,n,y,y,y,y,n,2,n,n,n,n
PMY2578,Plate 2 New Crosses,23,n,y,y,y,y,n,11,n,n,n,n
PMY2579,Plate 2 New Crosses,24,n,y,y,y,y,n,5,n,n,n,n
PMY2580,Plate 2 New Crosses,25,n,y,y,y,y,n,4,y,y,n,n
PMY2581,Plate 2 New Crosses,26,y,y,y,y,y,y,12,n,n,n,n
PMY2582,Plate 2 New Crosses,27,y,y,y,y,n,y,0,n,n,n,n
PMY2583,Plate 2 New Crosses,28,y,y,y,y,n,y,0,n,n,n,n
PMY2584,Plate 2 New Crosses,29,y,y,y,y,y,y,13,y,y,n,n
PMY2585,Plate 2 New Crosses,30,n,y,y,y,y,n,13,y,y,n,n
PMY2586,Plate 2 New Crosses,31,n,y,y,y,y,n,6,y,y,n,n
PMY2587,Plate 2 New Crosses,32,n,y,y,y,y,n,14,y,y,n,n
PMY2588,Plate 2 New Crosses,33,n,y,y,y,y,n,10,n,n,n,n
PMY2589,Plate 2 New Crosses,34,n,y,y,y,y,n,15,y,y,n,n
PMY2590,Plate 2 New Crosses,35,y,y,y,y,n,y,0,n,n,n,n
PMY2591,Plate 2 New Crosses,36,y,y,y,y,n,y,0,n,n,n,n
PMY2592,Plate 2 New Crosses,37,y,y,y,y,n,y,0,n,n,n,n
PMY2593,Plate 2 New Crosses,38,n,y,y,y,y,n,9,n,n,n,n
PMY2594,Plate 2 New Crosses,39,y,y,y,y,y,y,14,n,n,n,n
PMY2595,Plate 2 New Crosses,40,n,y,y,y,y,n,3,n,n,n,n
PMY2596,Plate 2 New Crosses,41,n,y,y,y,y,n,9,n,n,n,n
