Strain,Replicate,Day,Area,Mean,Min,Max,,stack_position,stack,stack_size,group,run,issues,passage
154,1,1,0.313,19902.429,17302,25132,,1,1,12,p4,1,,12
154,2,1,0.304,19198.537,17479,24395,,2,1,12,p4,1,,12
154,3,1,0.443,19631.207,17102,24750,,3,1,12,p4,1,,12
176,1,1,0.263,19173.052,17243,22673,,4,1,12,p4,1,,12
176,2,1,0.536,20148.518,17407,25189,,5,1,12,p4,1,,12
176,3,1,0.312,19277.929,17425,23084,,6,1,12,p4,1,,12
185,1,1,0.453,20361.535,17306,33507,,7,1,12,p4,1,,12
185,2,1,0.285,20435.353,18777,28104,,8,1,12,p4,1,,12
185,3,1,0.417,20173.541,17053,23024,,9,1,12,p4,1,,12
174,1,1,0.478,20144.073,17315,24439,,10,1,12,p4,1,,12
174,2,1,0.223,19387.179,17079,25514,,11,1,12,p4,1,,12
174,3,1,0.539,20153.21,16795,26828,,12,1,12,p4,1,,12
196,1,1,0.29,19583.465,17858,23083,,1,2,12,p4,1,,12
196,2,1,0.454,20029.585,17327,27755,,2,2,12,p4,1,,12
196,3,1,0.282,19753.989,17657,24295,,3,2,12,p4,1,,12
188,1,1,0.256,19860.768,17363,22412,,4,2,12,p4,1,,12
188,2,1,0.654,20432.567,17605,24404,,5,2,12,p4,1,,12
188,3,1,0.211,20602.314,17832,24001,,6,2,12,p4,1,,12
155,1,1,0.434,20044.687,7594,27315,,7,2,12,p4,1,yes,12
155,2,1,0.332,20839.418,15334,24965,,8,2,12,p4,1,,12
155,3,1,0.512,20154.292,17018,23076,,9,2,12,p4,1,,12
168,1,1,0.272,19632.775,17788,22763,,10,2,12,p4,1,,12
168,2,1,0.58,19767.779,17262,26169,,11,2,12,p4,1,,12
168,3,1,0.266,19698.486,17620,22645,,12,2,12,p4,1,,12
180,1,1,0.469,19627.075,17183,28441,,1,3,12,p4,1,,12
180,2,1,0.272,19241.011,17534,22409,,2,3,12,p4,1,,12
180,3,1,0.555,19526.785,17149,26558,,3,3,12,p4,1,,12
190,1,1,0.156,18929.009,17322,23078,,4,3,12,p4,1,,12
190,2,1,0.244,19175.95,17105,26610,,5,3,12,p4,1,,12
190,3,1,0.157,19112.268,17666,23270,,6,3,12,p4,1,,12
157,1,1,0.534,20084.062,16878,32845,,7,3,12,p4,1,,12
157,2,1,0.279,20259.198,18052,22638,,8,3,12,p4,1,,12
157,3,1,0.57,20211.853,17132,23869,,9,3,12,p4,1,,12
171,1,1,0.281,19937.919,17458,23948,,10,3,12,p4,1,,12
171,2,1,0.513,19807.317,17159,25291,,11,3,12,p4,1,,12
171,3,1,0.29,19811.693,17128,30150,,12,3,12,p4,1,,12
181,1,1,0.379,20209.614,16945,24069,,1,4,12,p4,1,,12
181,2,1,0.281,19954.217,17685,22593,,2,4,12,p4,1,,12
181,3,1,0.534,20070.491,16668,25998,,3,4,12,p4,1,,12
162,1,1,0.295,19337.824,17365,23792,,4,4,12,p4,1,,12
162,2,1,0.499,19678.791,17387,27026,,5,4,12,p4,1,,12
162,3,1,0.272,19324.472,17817,22082,,6,4,12,p4,1,,12
Bt22,1,1,0.865,19936.455,16821,25085,,7,4,12,p4,1,,12
Bt22,2,1,0.313,19311.934,17578,26460,,8,4,12,p4,1,,12
Bt22,3,1,0.45,19741.344,17098,25090,,9,4,12,p4,1,,12
KN99,1,1,0.321,20527.89,17604,25853,,10,4,12,p4,1,,12
KN99,2,1,1.013,20079.438,16969,27235,,11,4,12,p4,1,,12
KN99,3,1,0.395,20446.28,17599,24623,,12,4,12,p4,1,,12
194,1,1,0.388,19519.815,16982,26393,,1,5,12,p4,1,,12
194,2,1,0.297,19435.008,17621,22981,,2,5,12,p4,1,,12
194,3,1,0.533,19762.413,17389,25405,,3,5,12,p4,1,,12
201,1,1,0.281,20122.246,18155,22370,,4,5,12,p4,1,,12
201,2,1,0.573,20348.106,17247,34068,,5,5,12,p4,1,,12
201,3,1,0.475,20226.924,18218,22420,,6,5,12,p4,1,,12
187,1,1,0.499,20226.616,17494,32348,,7,5,12,p4,1,,12
187,2,1,0.271,19796.43,17432,23037,,8,5,12,p4,1,,12
187,3,1,0.478,19912.147,16953,23716,,9,5,12,p4,1,,12
158,1,1,0.27,20073.231,17617,25623,,10,5,12,p4,1,,12
158,2,1,0.332,21045.255,18109,27291,,11,5,12,p4,1,,12
158,3,1,0.328,20411.687,17322,26824,,12,5,12,p4,1,,12
204,1,1,0.343,20640.537,17440,27626,,1,6,12,p4,1,,12
204,2,1,0.206,20008.045,17610,24159,,2,6,12,p4,1,,12
204,3,1,0.451,19930.739,17399,25401,,3,6,12,p4,1,,12
173,1,1,0.256,20458.398,18483,22675,,4,6,12,p4,1,,12
173,2,1,0.351,20463.464,17354,26293,,5,6,12,p4,1,,12
173,3,1,0.291,20412.94,17961,22782,,6,6,12,p4,1,,12
197,1,1,0.426,20025.226,17269,25965,,7,6,12,p4,1,,12
197,2,1,0.299,20100.457,18024,23497,,8,6,12,p4,1,,12
197,3,1,0.301,20068.647,17799,24442,,9,6,12,p4,1,,12
193,1,1,0.519,19767.05,16902,26863,,10,6,12,p4,1,,12
193,2,1,0.581,19874.208,16875,27363,,11,6,12,p4,1,,12
193,3,1,0.331,19016.27,17001,22134,,12,6,12,p4,1,,12
189,1,1,0.509,19522.146,16563,27039,,1,7,12,p4,1,,12
189,2,1,0.302,19236.875,17539,25166,,2,7,12,p4,1,,12
189,3,1,0.576,19787.985,17380,26967,,3,7,12,p4,1,,12
167,1,1,0.287,19819.455,17619,23843,,4,7,12,p4,1,,12
167,2,1,0.468,20045.06,17350,25742,,5,7,12,p4,1,,12
167,3,1,0.29,19946.182,17925,22694,,6,7,12,p4,1,,12
166,1,1,0.539,19656.42,17201,29922,,7,7,12,p4,1,,12
166,2,1,0.285,19451.05,17253,26126,,8,7,12,p4,1,,12
166,3,1,0.505,19420.889,16847,25563,,9,7,12,p4,1,,12
172,1,1,0.305,20065.288,17896,22074,,10,7,12,p4,1,,12
172,2,1,0.489,20237.446,16967,24010,,11,7,12,p4,1,,12
172,3,1,0.319,20138.616,18152,22187,,12,7,12,p4,1,,12
Ftc555,1,1,0.35,19936.961,16693,61731,,1,8,3,p4,1,,12
Ftc555,2,1,0.273,19436.405,17429,23098,,2,8,3,p4,1,,12
Ftc555,3,1,0.445,20117.084,17148,32612,,3,8,3,p4,1,,12
195,1,1,0.4,20343.401,17714,24310,,1,1,12,p4,2,,5
195,2,1,0.277,19803.618,17464,21876,,2,1,12,p4,2,,5
