PMY,Replicate,Halo
PMY2603,1,1.3830000000000002
PMY2603,2,0.8200000000000001
PMY2603,3,1.3810000000000002
PMY2604,1,2.483
PMY2604,2,2.759
PMY2604,3,1.891
PMY2605,1,7.661
PMY2605,2,3.7390000000000003
PMY2605,3,7.883
PMY2606,1,1.3699999999999999
PMY2606,2,1.7679999999999998
PMY2606,3,0.8079999999999999
PMY2607,1,2.7630000000000003
PMY2607,2,1.5469999999999997
PMY2607,3,2.5509999999999997
PMY2608,1,4.847
PMY2608,2,7.006000000000001
PMY2608,3,4.626
PMY2609,1,0.99
PMY2609,2,0.6080000000000001
PMY2609,3,0.9140000000000001
PMY2610,1,1.043
PMY2610,2,0.994
PMY2610,3,
PMY2611,1,
PMY2611,2,2.4050000000000002
PMY2611,3,3.225
PMY2612,1,5.654
PMY2612,2,6.116
PMY2612,3,4.531
PMY2613,1,0.5209999999999999
PMY2613,2,0.616
PMY2613,3,0.5700000000000001
PMY2614,1,4.048
PMY2614,2,6.878
PMY2614,3,6.8
PMY2615,1,2.6879999999999997
PMY2615,2,2.123
PMY2615,3,
PMY2616,1,2.732
PMY2616,2,4.182
PMY2616,3,5.236000000000001
PMY2617,1,7.239
PMY2617,2,8.13
PMY2617,3,7.779999999999999
PMY2618,1,7.5520000000000005
PMY2618,2,2.607
PMY2618,3,6.503
PMY2619,1,7.327
PMY2619,2,5.534
PMY2619,3,6.001
PMY2620,1,4.144
PMY2620,2,6.166
PMY2620,3,3.9909999999999997
PMY2621,1,5.545
PMY2621,2,1.6840000000000002
PMY2621,3,1.802
PMY2622,1,7.332
PMY2622,2,4.882
PMY2622,3,4.5680000000000005
PMY2623,1,2.3129999999999997
PMY2623,2,1.3250000000000002
PMY2623,3,4.3790000000000004
PMY2624,1,1.948
PMY2624,2,3.5039999999999996
PMY2624,3,2.114
PMY2625,1,7.533
PMY2625,2,2.9000000000000004
PMY2625,3,6.792000000000001
PMY2626,1,0.10699999999999993
PMY2626,2,0.136
PMY2626,3,0.06400000000000006
PMY2627,1,1.516
PMY2627,2,0.651
PMY2627,3,1.292
PMY2628,1,1.399
PMY2628,2,2.791
PMY2628,3,1.863
PMY2629,1,3.2
PMY2629,2,5.744
PMY2629,3,6.8919999999999995
PMY2630,1,1.13
PMY2630,2,1.2819999999999998
PMY2630,3,0.73
PMY2631,1,0.472
PMY2631,2,0.649
PMY2631,3,0.4570000000000001
PMY2632,1,5.449
PMY2632,2,4.806
PMY2632,3,4.994
PMY2633,1,4.6819999999999995
PMY2633,2,7.736999999999999
PMY2633,3,5.488
PMY2634,1,4.300000000000001
PMY2634,2,4.1209999999999996
PMY2634,3,2.098
PMY2635,1,3.654
PMY2635,2,2.39
PMY2635,3,2.918
PMY2636,1,3.9050000000000002
PMY2636,2,8.492
PMY2636,3,4.127
PMY2637,1,7.820999999999999
PMY2637,2,5.367999999999999
PMY2637,3,7.367000000000001
PMY2638,1,6.265
PMY2638,2,4.7780000000000005
PMY2638,3,6.0040000000000004
PMY2639,1,6.517
PMY2639,2,6.4590000000000005
PMY2639,3,8.344000000000001
PMY2640,1,7.523
PMY2640,2,3.0079999999999996
PMY2640,3,8.016
PMY2641,1,0.4680000000000001
PMY2641,2,0.567
PMY2641,3,0.6809999999999999
PMY2642,1,4.066000000000001
PMY2642,2,4.957
PMY2642,3,2.1400000000000006
PMY2643,1,6.446000000000001
PMY2643,2,7.183999999999999
PMY2643,3,2.9989999999999997
PMY2644,1,1.609
PMY2644,2,1.358
PMY2644,3,1.272
PMY2645,1,2.012
PMY2645,2,1.5210000000000001
PMY2645,3,1.392
PMY2646,1,8.041
PMY2646,2,8.38
PMY2646,3,8.452
PMY2647,1,5.518999999999999
PMY2647,2,7.667000000000001
PMY2647,3,5.8999999999999995
PMY2648,1,3.618
PMY2648,2,7.673000000000001
PMY2648,3,3.09
PMY2650,1,1.0162500000000003
PMY2650,2,0.9937500000000001
PMY2650,3,1.1
PMY2651,1,8.099
PMY2651,2,6.555000000000001
PMY2651,3,8.1
PMY2652,1,2.38
PMY2652,2,1.774
PMY2652,3,1.675
PMY2653,1,2.413
PMY2653,2,1.6260000000000001
PMY2653,3,2.664
PMY2654,1,0.6880000000000002
PMY2654,2,1.3909999999999998
PMY2654,3,0.671
PMY2655,1,3.039
PMY2655,2,1.541
PMY2655,3,1.748
PMY2656,1,2.6340000000000003
PMY2656,2,3.0340000000000003
PMY2656,3,2.0869999999999997
PMY2657,1,5.588
PMY2657,2,8.557
PMY2657,3,4.372999999999999
PMY2658,1,8.07
PMY2658,2,4.945
PMY2658,3,7.9559999999999995
PMY2659,1,3.7199999999999998
PMY2659,2,6.914
PMY2659,3,4.56
PMY2660,1,7.6610000000000005
PMY2660,2,8.44
PMY2660,3,8.311
PMY2661,1,1.8690000000000002
PMY2661,2,1.4499999999999997
PMY2661,3,2.411
PMY2662,1,8.267000000000001
PMY2662,2,7.811000000000001
PMY2662,3,6.5760000000000005
PMY2663,1,7.4319999999999995
PMY2663,2,4.594
PMY2663,3,7.006
PMY2664,1,0.946
PMY2664,2,0.5840000000000001
PMY2664,3,1.0899999999999999
PMY2665,1,4.632000000000001
PMY2665,2,8.391000000000002
PMY2665,3,6.409
PMY2666,1,5.146000000000001
PMY2666,2,7.901
PMY2666,3,5.156999999999999
PMY2667,1,3.033
PMY2667,2,2.2459999999999996
PMY2667,3,3.1260000000000003
PMY2668,1,4.259
PMY2668,2,7.213
PMY2668,3,4.119
PMY2669,1,3.5709999999999997
PMY2669,2,4.665000000000001
PMY2669,3,7.704000000000001
PMY2670,1,7.943
PMY2670,2,7.143000000000001
PMY2670,3,6.336
PMY2671,1,4.837000000000001
PMY2671,2,8.091000000000001
PMY2671,3,7.447
PMY2672,1,3.882
PMY2672,2,2.855
PMY2672,3,4.0809999999999995
PMY2673,1,5.925
PMY2673,2,7.625
PMY2673,3,5.954000000000001
PMY2674,1,7.829
PMY2674,2,6.402
PMY2674,3,8.058
PMY2675,1,6.978
PMY2675,2,8.435
PMY2675,3,5.1850000000000005
PMY2676,1,1.707
PMY2676,2,1.647
PMY2676,3,1.094
PMY2677,1,0.8710000000000001
PMY2677,2,0.715
PMY2677,3,0.608
PMY2678,1,1.836
PMY2678,2,1.319
PMY2678,3,1.737
PMY2679,1,7.584
PMY2679,2,6.3629999999999995
PMY2679,3,8.081000000000001
PMY2680,1,6.091
