PMY,Replicate,Halo
PMY2556,1,2.613
PMY2556,2,4.023000000000001
PMY2557,1,2.6660000000000004
PMY2557,2,2.489
PMY2558,1,0.927
PMY2558,2,1.259
PMY2559,1,0.65
PMY2559,2,0.6920000000000001
PMY2560,1,0.6
PMY2560,2,0.608
PMY2561,1,1.3809999999999998
PMY2561,2,1.956
PMY2562,1,0.382
PMY2562,2,0.673
PMY2563,1,3.393
PMY2563,2,4.596
PMY2564,1,0.621
PMY2564,2,0.627
PMY2565,1,7.295
PMY2565,2,5.742
PMY2566,1,1.302
PMY2566,2,2.2390000000000003
PMY2567,1,7.638
PMY2567,2,6.861000000000001
PMY2568,1,5.884
PMY2568,2,7.681
PMY2569,1,0.53
PMY2569,2,0.8220000000000001
PMY2570,1,8.259
PMY2570,2,7.006
PMY2571,1,7.13
PMY2571,2,7.659
PMY2572,1,8.236
PMY2572,2,8.113
PMY2573,1,8.030999999999999
PMY2573,2,5.9959999999999996
PMY2574,1,0.8460000000000001
PMY2574,2,1.233
PMY2575,1,6.34
PMY2575,2,3.067
PMY2576,1,0.431
PMY2576,2,0.637
PMY2577,1,0.805
PMY2577,2,0.585
PMY2578,1,8.443999999999999
PMY2578,2,3.678
PMY2579,1,1.6929999999999998
PMY2579,2,3.069
PMY2580,1,1.222
PMY2580,2,1.671
PMY2581,1,8.038
PMY2581,2,8.248
PMY2582,1,0.536
PMY2582,2,0.835
PMY2583,1,7.207000000000001
PMY2583,2,6.971
PMY2584,1,7.283
PMY2584,2,8.387
PMY2585,1,5.521
PMY2585,2,7.075
PMY2586,1,7.968999999999999
PMY2586,2,8.273000000000001
PMY2587,1,7.076
PMY2587,2,8.097
PMY2588,1,
PMY2588,2,7.237
PMY2589,1,0.06000000000000005
PMY2589,2,1.754
PMY2590,1,0.671
PMY2590,2,0.6579999999999999
PMY2591,1,1.266
PMY2591,2,1.54
PMY2592,1,0.968
PMY2592,2,2.485
PMY2593,1,4.612
PMY2593,2,6.983
PMY2594,1,5.005
PMY2594,2,6.4590000000000005
PMY2595,1,0.00899999999999998
PMY2595,2,0.5760000000000001
PMY2596,1,2.216
PMY2596,2,5.593999999999999
PMY2597,1,8.112
PMY2597,2,8.318
PMY2598,1,7.7669999999999995
PMY2598,2,8.151
PMY2599,1,1.725
PMY2599,2,2.174
PMY2600,1,0.562
PMY2600,2,1.448
PMY2601,1,1.41
PMY2601,2,1.277
PMY2602,1,0.7710000000000001
PMY2602,2,0.8290000000000001
PMY2649,1,3.753
PMY2649,2,5.409000000000001
PMY2650,1,1.344
PMY2650,2,1.053
