Chrom,Seqid,Length,Cumpos,Midpts
1,CP022321.1,2291500,0,1145750.0
2,CP022322.1,1621676,2291500,3102338.0
3,CP022323.1,1574972,3913176,4700662.0
4,CP022324.1,1084805,5488148,6030550.5
5,CP022325.1,1814975,6572953,7480440.5
6,CP022326.1,1422463,8387928,9099159.5
7,CP022327.1,1399209,9810391,10509995.5
8,CP022328.1,1398693,11209600,11908946.5
9,CP022329.1,1186813,12608293,13201699.5
10,CP022330.1,1059962,13795106,14325087.0
11,CP022331.1,1562107,14855068,15636121.5
12,CP022332.1,774060,16417175,16804205.0
13,CP022333.1,756017,17191235,17569243.5
14,CP022334.1,942472,17947252,18418488.0
