,L,R
0,970169,1006931
1,835384,889427
2,1370568,1409632
3,708804,752337
4,1559983,1587231
5,780649,821756
6,525714,584338
7,451162,512653
8,801830,839446
9,199434,243741
10,868824,933658
11,139633,171048
12,579772,632362
13,441845,477986
