Gene,Description,Start,End,Strand
CNAG_01170,small subunit ribosomal protein S17,1016102,1017337,-
CNAG_01169,Aspartyl aminopeptidase,1017565,1019512,+
CNAG_01168,H/ACA ribonucleoprotein complex subunit 4,1019136,1021259,-
CNAG_01167,chromosome associated protein,1021451,1026174,+
CNAG_01166,urease accessory protein,1026129,1027326,-
CNAG_01165,D-erythro-sphingosine kinase,1027395,1030070,+
CNAG_01164,glutamine-fructose-6-phosphate transaminase (isomerizing),1029583,1033747,-
CNAG_01163,DNA repair and recombination protein RAD54-like protein,1033941,1037151,+
CNAG_07439,U3 small nucleolar RNA-associated protein 21,1043550,1047115,+
CNAG_01159,pre-mRNA-splicing factor slu7,1046983,1049114,-
CNAG_01158,branchpoint-bridging protein,1049247,1051625,+
CNAG_01156,capsular related protein,1054611,1057342,-
CNAG_01155,glycerol kinase,1057646,1060504,+
CNAG_01153,small subunit ribosomal protein S13e,1064824,1065837,-
CNAG_01152,small subunit ribosomal protein S6e,1066045,1067173,+
CNAG_01151,ubiquitin-conjugating enzyme E2 D/E,1067288,1068577,-
CNAG_01150,omega-6 fatty acid desaturase (delta-12 desaturase),1068784,1071449,+
CNAG_01148,FK506-binding protein 4,1077307,1079287,-
CNAG_01147,arp2/3 complex 20 kDa subunit,1079446,1080597,+
CNAG_01146,U3 small nucleolar RNA-associated protein 22,1080205,1084412,-
CNAG_01144,replication factor A1,1086069,1088546,-
CNAG_01142,endoplasmic reticulum protein,1090087,1094300,-
CNAG_01141,exosome complex component RRP40,1094404,1095636,-
CNAG_01140,ATP-dependent RNA helicase DRS1,1095868,1099038,+
CNAG_01138,cytochrome c peroxidase,1101942,1103697,+
CNAG_01137,aconitate hydratase,1104696,1108196,+
