,Strain,Gene,Parent,Expected,Ref,Alt,Refstop,Altstop,Nonsyn,Nvars,Utr5,Utr3,Exon,Intron,Chrom,Description,Start,End,Strand
7890,PMY2650,CNAG_03342,CNAG_03342-t26_1,569.0,569.0,569.0,1,1,0,2,0,0,1,1,8,tRNA (guanine-N(7)-)-methyltransferase subunit TRM82,692706,694766,1
7889,PMY2649,CNAG_03342,CNAG_03342-t26_1,569.0,569.0,569.0,1,1,3,5,0,0,4,1,8,tRNA (guanine-N(7)-)-methyltransferase subunit TRM82,692706,694766,1
7892,PMY2650,CNAG_03343,CNAG_03343-t26_1,232.0,232.0,232.0,1,1,0,1,0,0,1,0,8,hypothetical protein,694724,696026,-1
7891,PMY2649,CNAG_03343,CNAG_03343-t26_1,232.0,232.0,232.0,1,1,1,3,0,0,1,2,8,hypothetical protein,694724,696026,-1
7894,PMY2650,CNAG_03344,CNAG_03344-t26_1,380.0,380.0,380.0,1,1,0,0,0,0,0,0,8,hypothetical protein,696160,698711,1
7893,PMY2649,CNAG_03344,CNAG_03344-t26_1,380.0,380.0,380.0,1,1,1,1,0,0,1,0,8,hypothetical protein,696160,698711,1
7895,PMY2649,CNAG_03345,CNAG_03345-t26_1,1609.0,1609.0,1609.0,1,1,0,4,0,1,1,2,8,putative translational repressor,696583,704402,-1
7896,PMY2649,CNAG_03345,CNAG_03345-t26_2,1670.0,1670.0,1670.0,1,1,0,4,0,1,1,2,8,putative translational repressor,696583,704402,-1
7897,PMY2650,CNAG_03345,CNAG_03345-t26_1,1609.0,1609.0,1609.0,1,1,0,3,2,0,1,0,8,putative translational repressor,696583,704402,-1
7898,PMY2650,CNAG_03345,CNAG_03345-t26_2,1670.0,1670.0,1670.0,1,1,0,3,2,0,1,0,8,putative translational repressor,696583,704402,-1
8379,,CNAG_03346,CNAG_03346-t26_1,342.0,,,1,1,0,0,0,0,0,0,8,bZip transcription factor,706174,708222,-1
7899,PMY2649,CNAG_03347,CNAG_03347-t26_1,834.0,834.0,834.0,1,1,0,1,0,1,0,0,8,ATP-dependent Clp protease ATP-binding subunit ClpB,711064,713892,-1
7900,PMY2650,CNAG_03347,CNAG_03347-t26_1,834.0,834.0,834.0,1,1,1,1,0,0,1,0,8,ATP-dependent Clp protease ATP-binding subunit ClpB,711064,713892,-1
7901,PMY2649,CNAG_03348,CNAG_03348-t26_1,811.0,811.0,811.0,1,1,0,1,1,0,0,0,8,hypothetical protein,714123,717304,-1
7902,PMY2650,CNAG_03348,CNAG_03348-t26_1,811.0,811.0,811.0,1,1,0,4,2,0,2,0,8,hypothetical protein,714123,717304,-1
7903,PMY2649,CNAG_03349,CNAG_03349-t26_1,615.0,615.0,615.0,1,1,0,1,1,0,0,0,8,pre-mRNA-processing factor 17,718250,721408,-1
7904,PMY2650,CNAG_03349,CNAG_03349-t26_1,615.0,615.0,615.0,1,1,0,3,0,2,1,0,8,pre-mRNA-processing factor 17,718250,721408,-1
8291,PMY2649,CNAG_07724,CNAG_07724-t26_1,1048.0,1048.0,1048.0,1,1,1,3,0,1,2,0,8,Metal-binding regulatory protein CUF1,721568,725406,-1
8292,PMY2650,CNAG_07724,CNAG_07724-t26_1,1048.0,1048.0,1048.0,1,1,2,5,0,0,5,0,8,Metal-binding regulatory protein CUF1,721568,725406,-1
7905,PMY2649,CNAG_03352,CNAG_03352-t26_1,91.0,91.0,91.0,1,1,0,0,0,0,0,0,8,hypothetical protein,725534,726325,-1
7906,PMY2650,CNAG_03352,CNAG_03352-t26_1,91.0,91.0,91.0,1,1,0,1,0,0,0,1,8,hypothetical protein,725534,726325,-1
7907,PMY2649,CNAG_03353,CNAG_03353-t26_1,324.0,324.0,324.0,1,1,0,0,0,0,0,0,8,hypothetical protein,726483,727780,1
7908,PMY2650,CNAG_03353,CNAG_03353-t26_1,324.0,324.0,324.0,1,1,1,4,1,0,3,0,8,hypothetical protein,726483,727780,1
7909,PMY2649,CNAG_03354,CNAG_03354-t26_1,211.0,211.0,211.0,1,1,0,1,0,1,0,0,8,hypothetical protein,728019,729581,1
7910,PMY2650,CNAG_03354,CNAG_03354-t26_1,211.0,211.0,211.0,1,1,0,0,0,0,0,0,8,hypothetical protein,728019,729581,1
7911,PMY2649,CNAG_03355,CNAG_03355-t26_1,1838.0,1838.0,1838.0,1,1,1,4,0,0,2,2,8,Two-component-like sensor kinase,730288,738294,1
7912,PMY2650,CNAG_03355,CNAG_03355-t26_1,1838.0,1838.0,1838.0,1,1,1,6,0,1,2,3,8,Two-component-like sensor kinase,730288,738294,1
7913,PMY2649,CNAG_03356,CNAG_03356-t26_1,350.0,350.0,350.0,1,1,0,0,0,0,0,0,8,hypothetical protein,738180,739704,-1
7914,PMY2650,CNAG_03356,CNAG_03356-t26_1,350.0,350.0,350.0,1,1,0,1,0,1,0,0,8,hypothetical protein,738180,739704,-1
7915,PMY2649,CNAG_03357,CNAG_03357-t26_1,612.0,612.0,612.0,1,1,0,0,0,0,0,0,8,hypothetical protein,739822,742000,-1
7916,PMY2650,CNAG_03357,CNAG_03357-t26_1,612.0,612.0,612.0,1,1,0,1,0,0,0,1,8,hypothetical protein,739822,742000,-1
7917,PMY2649,CNAG_03358,CNAG_03358-t26_1,417.0,417.0,417.0,1,1,0,1,0,0,0,1,8,Phosphoglycerate kinase,742046,744593,-1
7918,PMY2650,CNAG_03358,CNAG_03358-t26_1,417.0,417.0,417.0,1,1,0,0,0,0,0,0,8,Phosphoglycerate kinase,742046,744593,-1
7919,PMY2649,CNAG_03359,CNAG_03359-t26_1,57.0,57.0,57.0,1,1,0,0,0,0,0,0,8,cytochrome c oxidase subunit 7,744190,744760,1
7920,PMY2650,CNAG_03359,CNAG_03359-t26_1,57.0,57.0,57.0,1,1,0,1,0,1,0,0,8,cytochrome c oxidase subunit 7,744190,744760,1
7922,PMY2650,CNAG_03360,CNAG_03360-t26_1,494.0,494.0,494.0,1,1,1,1,0,0,1,0,8,hypothetical protein,745015,746904,1
7921,PMY2649,CNAG_03360,CNAG_03360-t26_1,494.0,494.0,494.0,1,1,2,4,0,1,3,0,8,hypothetical protein,745015,746904,1
7924,PMY2650,CNAG_03361,CNAG_03361-t26_1,549.0,549.0,549.0,1,1,0,0,0,0,0,0,8,hypothetical protein,747006,748905,1
7923,PMY2649,CNAG_03361,CNAG_03361-t26_1,549.0,549.0,549.0,1,1,3,6,0,0,6,0,8,hypothetical protein,747006,748905,1
7926,PMY2650,CNAG_03362,CNAG_03362-t26_1,552.0,552.0,552.0,1,1,1,3,2,0,1,0,8,hypothetical protein,748837,750946,-1
7925,PMY2649,CNAG_03362,CNAG_03362-t26_1,552.0,552.0,552.0,1,1,2,5,2,0,3,0,8,hypothetical protein,748837,750946,-1
7927,PMY2649,CNAG_03363,CNAG_03363-t26_1,261.0,261.0,261.0,1,1,0,1,0,0,1,0,8,hypothetical protein,751532,752682,1
7928,PMY2650,CNAG_03363,CNAG_03363-t26_1,261.0,261.0,261.0,1,1,1,2,0,0,2,0,8,hypothetical protein,751532,752682,1
7929,PMY2649,CNAG_03364,CNAG_03364-t26_1,236.0,236.0,236.0,1,1,0,2,0,0,2,0,8,hypothetical protein,752630,753674,-1
7930,PMY2650,CNAG_03364,CNAG_03364-t26_1,236.0,236.0,236.0,1,1,1,2,1,0,1,0,8,hypothetical protein,752630,753674,-1
7931,PMY2649,CNAG_03365,CNAG_03365-t26_1,301.0,301.0,301.0,1,1,0,2,0,2,0,0,8,hypothetical protein,753864,755453,1
7932,PMY2649,CNAG_03365,CNAG_03365-t26_2,301.0,301.0,301.0,1,1,0,2,0,1,0,1,8,hypothetical protein,753864,755453,1
7933,PMY2650,CNAG_03365,CNAG_03365-t26_1,301.0,301.0,301.0,1,1,2,3,0,0,3,0,8,hypothetical protein,753864,755453,1
7934,PMY2650,CNAG_03365,CNAG_03365-t26_2,301.0,301.0,301.0,1,1,2,3,0,0,3,0,8,hypothetical protein,753864,755453,1
7935,PMY2649,CNAG_03366,CNAG_03366-t26_1,738.0,738.0,738.0,1,1,1,5,3,0,1,1,8,C2H2 type zinc finger transcription factor,755992,763369,1
7936,PMY2649,CNAG_03366,CNAG_03366-t26_2,738.0,738.0,738.0,1,1,1,2,0,0,1,1,8,C2H2 type zinc finger transcription factor,755992,763369,1
7937,PMY2650,CNAG_03366,CNAG_03366-t26_1,738.0,738.0,738.0,1,1,2,10,4,0,5,1,8,C2H2 type zinc finger transcription factor,755992,763369,1
7938,PMY2650,CNAG_03366,CNAG_03366-t26_2,738.0,738.0,738.0,1,1,2,7,2,0,5,0,8,C2H2 type zinc finger transcription factor,755992,763369,1
